comment,PE,EE,SI,FC
"ngeri mas asnawi ini ngarahin ke blog keren keren semoga mudah rezekinya marketing yang keren bang",0,0,0,0
"tidak jir.",0,0,0,0
"bang aku coba buat tapi malah g ada suaranya,adakah solusi?",0,0,0,0
"aku cantik kan guys= apa banget si",0,0,0,0
"ai dulu alat buat bikin film dan sekarang alat komersial",0,0,0,0
"cara agar wajahnya sesuai yang diinginkan dan seksi plus payudaranya gede gmna bang",0,0,0,0
"terimakasih kembali kak,silahkan dieksplor lebih lanjut",0,0,0,0
"tingal yang jadi masalah bagaimana cara membuat karakter ny tetap konsisten",0,0,0,0
"keren ilmunya",0,0,5,0
"ternyata invansi robot dimasa depan itu benar adanya ",0,0,0,0
"sudah dimulai era penuh dengan kebimbangan ini video asli apa ai,udah lumayan sulit di bedain",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. gas terus",0,0,5,0
"bang pas di coba ketikan tidak muncul knp ya",0,0,0,0
"​ iya sih bang tidak coding,tapi klik sana klik sini itu dah niat bangat sih,gak adakah yang langsung jadi gitu lo bang",0,0,0,0
"kak ada kelas mau belajar",0,0,0,0
"jaman fitnah sudah tiba",0,0,0,0
"bang kok punyaku ngomongnya pake bahasa inggris bng gi mna cara buat bahasa indonesia bg",0,0,0,0
"bisa mau velom​ ",0,0,0,0
"liat tangan cewe kiri udh kliatan",0,0,0,0
"abg ya asli bukan",0,0,0,0
"apahal semua yang ai ni kebanyakkan semua nak gelak je masalahnya bukan lawak pun ",0,0,0,0
"gajah madanya mana???",0,0,0,0
"dosen saya nyaranin pake ini buat riset. simpel dan elegan,navigasinya enak dipandang.",0,0,0,0
"pengisian suara nya gmnaa itu?",0,0,0,0
"kenapa yang saya tidak ada suara nya",0,0,0,0
"yang nasi goreng ai juga??? ",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana. kuota boros banget buat generate video 10 detik doang. no debat",0,0,0,0
"bang,punyaku ndak ada suaranya",0,0,0,0
"from generator tidak ada itu di veo03 dimana nyarinya tidak ada bosss",0,0,0,0
"support-nya oke,ada panduan lengkap di websitenya.",0,1,0,0
"��",0,0,0,0
"mantap,tips nya berkelas.",0,0,5,0
"kena gelak dgn ai",0,0,0,0
"rijal rijal",0,0,0,0
"",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. instalasi vpn-nya bikin pusing tujuh keliling. boleh lah",0,0,3,0
"lebih jauh lagi,\nmasuk jaman voc kak",0,0,0,0
"{error:{code:404,message:models/vo-3.0-generate-preview is not found for api version v1beta,or is not supported for predictlongrunning. call listmodels to see the list of available models and their supported methods.,status:not_found}}",0,0,0,0
"makin smooth aje",0,0,0,0
"kok gw ada firasat buruk di masa depan",0,0,0,0
"lah ai beneran..",0,0,0,0
"gimana bisa gratis 15 bulan bang?",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. cara pakainya gampang banget,gak perlu tutorial.",0,0,0,0
"bang plis suara nya pake siapa yang di elevenlab,dah subscribe like",0,0,0,0
"kuota boros banget buat generate video 10 detik doang. menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"kak produk kakak yang pro premium harga 45.000 itu,dapet apa saja kak,kok aku cuman pdf",0,0,0,0
"lama2 dunia perfilman dijajah ai",0,0,0,0
"support-nya oke,ada panduan lengkap di websitenya.",0,1,0,0
"sudah tidak bisa ya bang? minta api key",0,0,0,0
"bisa buat di hp mas?",0,0,0,0
"so hear me out...",0,0,0,0
"coba pakai teknik dot dan plus",0,0,0,0
"sempurna bangett yah",0,0,5,0
"kerenn banget kak",0,0,5,0
"cara pasanf muka kita di videonya gimana bang",0,0,0,0
"mungkin perlu tampilkan opera atau teater langsung hahahaha",0,0,0,0
"“bener bener kerasa jaman dulu “ kan emang jaman dulu ",0,0,0,0
"ini tu harus update k versi gemini pro. tapi pakai uang jaminan. q ada uangnya tapi kira² uang q bisa balik tidak entar?",0,0,0,0
"atau cara save dari gemini nya untuk di pakai terus veo 3 generator promptnya?",0,0,0,0
"bikin dulu di chatgpt,formatnya miripin punyaku ",0,0,0,0
"geloo salut sama ni orang pake ai buat edukasi,teruskan bang",0,0,0,0
"sayang banget harus pake vpn baru bisa akses. output-nya kurang akurat buat kebutuhan profesional. gokil",0,0,3,0
"klo via hp bisa tidak bang?",0,0,0,0
"keliatan meskipun tidak di terangkan",0,0,0,0
"halo kak,pastikan beberapa hal berikut",0,0,0,0
"tutor sampah,nd sesuai marketing,,harus berbayar vitur video lawak",0,0,0,0
"",0,0,0,0
"the end",0,0,0,0
"pc atau leptop apa minimal yang bisa jalanin googlevoe3 ini bro",0,0,0,0
"bang kualitas videonya 720p,gimana supaya bisa 1080p ?",0,0,0,0
"oke,sudah ketemu,tampilan di video tutor beda dengan yang muncul di layar saya,tapi sudah ketemu,sempat jalan dan bisa generate 1 video,malah akun sudah kena suspend kayaknya,ndak bisa lagi. ada kah yang bisa otomasi get api key saat misal di tengah proses lab masih banyak waktu nech,trus google minta password project lagi,kan mesti verif ulang,namun google bilang something wrong with account.",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. gas terus",0,0,0,0
"nama ibu tukang gorengan deket rumah ku juga mananya ai",0,0,0,0
"hayo udah mulai bahaya",0,0,0,0
"",0,0,0,0
sampai saat ini hanya penyempurnaan saja..,0,0,0,0
"tanda tanda akhir bulan",0,0,0,0
"di refresh dl gemininya",0,0,0,0
"terimakasih banyak bang....",0,0,0,0
"bisa bimbing saya agar berhasil sudah 4 video semua suara tidak muncul",0,0,0,0
"makasih mas",0,0,0,0
"terimakasih banyak bang....",0,0,0,0
"support-nya oke,ada panduan lengkap di websitenya.",0,1,0,0
"dosen saya nyaranin pake ini buat riset. hasil generate-nya oke punya,bikin kerjaan sat set. wkwk",0,0,0,0
"user friendly parah,pemula pasti langsung paham. laptop spek rendah tetep bisa akses lewat cloud,mantap. wkwk",0,4,5,2
"sayang banget harus pake vpn baru bisa akses. gokil",0,0,0,0
"output-nya kurang akurat buat kebutuhan profesional. instalasi vpn-nya bikin pusing tujuh keliling. parah sih",0,0,0,0
"ni mukanya muka siapa sih",0,0,0,0
bagus mas,0,0,3,0
"trima kasih bang",0,0,0,0
"prompt nenek naik motor apa bang?",0,0,0,0
"di ulang cb bg",0,0,0,0
"masih smooth itu,keliatan banget ai nya",0,0,0,0
"bang untuk generate dalam sehari maximal berapa kali?",0,0,0,0
"banyak influencer yang bahas,jadi penasaran. simpel dan elegan,navigasinya enak dipandang.",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. hp kentang saya tidak kuat jalanin aplikasi ini. no debat",0,0,0,0
".1 siap terima kasih bang",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana. hasil generate-nya oke punya,bikin kerjaan sat set. gokil",0,0,3,4
"! si rijal gacor kali",0,0,0,0
"siap ",0,0,0,0
"semoga pahalamu bertambah bang,ilmu yang bermanfaat",2,0,0,0
"bisa coba ikuti link panduan manual yang ada di deskripsi kak",0,0,0,0
"kelemahan ai cuma di tangan",0,0,0,0
"kenapa aku buat,suara dialognya tiada bang",0,0,0,0
"ini lucu banget sampai hampir serem ",0,0,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini.",5,0,0,0
"gw berhasil bikin videonya dengan sedikit modif prompt nya bang,first try,tapi gada audionya",0,0,0,0
"veo3 nya yang udqh tidak bisa bang. veo2 aja yang bisa",0,0,0,0
"generate ulang aja kak. kalau kakaknya mau pake yang sudah ada aja juga sudah oke kok kak. terimakasih ya kak sebelumnya,eksplor terus kak",0,0,0,0
"support-nya oke,ada panduan lengkap di websitenya. sangat efektif untuk meningkatkan produktivitas kerja. anjir",0,1,5,0
"kelihatan kayak gta tapi grafik manusia",0,0,0,0
"keliatan kok ai nya",0,0,0,0
"koq saya lama ya video nya tidak jadi2",0,0,0,0
"pas aku buat kok tidak ada suara videonya ya mas",0,0,0,0
"buatkan prompt gogle veo 3 seorang wanita cantik berambut panjang dengan begrond lomba burung canary seolah ngevlog sambil berbicara bahasa indonesia burung kenari anda macet pakan magic solusinya,pakan herbal untuk burung macet dengan ceria",0,0,0,0
"",0,0,0,0
"mas di hp saya tidak bisa",0,0,0,0
"pake tools apaan bang?",0,0,0,0
"ai lebih berbahaya daripada nuklir",0,0,0,0
"bisa lebih dari 8 detik durasi nya ?",0,0,0,0
"iya keliatan kok",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana.",0,4,0,0
,0,0,0,0
"pak bisa gitu ya video ai",0,0,0,0
"aku punya ide g sih",0,0,0,0
"lah gua gratis njir liat aja vt gua",0,0,0,0
"sebenarnya",0,0,0,0
"​ oke kak nanti di coba2 lagi,jatah buat video hari ini udah habis jadi besok di cb lagi. btw makasih banyak atas tutorial nya ya kak.",0,0,0,0
"tapi tetep ada selip ya.. ahaha..\ndi scene kolam,ada bangunan kyk gudang atau balai desa..\nitu veo3 bisa tidak di ganti model gapura2",0,0,0,0
"aku cuma merasa sedih aja makin banyak orang yang tidak peduli sama seni yang datang dari perasaan manusia",0,0,0,0
"terimakasih banyak bang....",0,0,0,0
"kirain parodi",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"gimana caranya biar whisk tidak limit yaa? :(",0,0,0,0
"ini aku pake yang pro",0,0,0,0
"itu ai",0,0,0,0
"justru bisa jadi sangat membantu dalam industri perfilman ketika ada bagian yang memang tidak bisa di produksi ulang bisa di akalin dengan ai",0,0,0,0
"bisa di ketahui dari tulisan di plat nomor",0,0,0,0
"pake hp bisa tidak kak",0,0,0,0
"udhs berhasil,tapi kenapa tidak ada suaranya ya kak?",0,0,0,0
"ini koment yang bersarang di kepala saya jangan penyiarnya ini ai jga ",0,0,0,0
"kenapa ikon video tiada di paparan ku?",0,0,0,0
"saya coba upgrade gemini pro belum bisa,terkendala penawaran pembayaran harus lewat google one,tdk ada pilihan pembayaran lewat gopay. gimana mas??",0,0,0,0
"mohon bantuannya kok saya buat vidionya ngomongnya pakai bahasa inggris yaaa,biar bisa berbahasa indonesia gimana caranya yaa..",0,0,0,0
"ajo ",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. banyak influencer yang bahas,jadi penasaran. asli",0,0,0,0
"mantap bang,tiga episode bang",0,0,0,0
"��",0,0,0,0
"jangan di like plis aku gamau bali lagi",0,0,0,0
"sayang banget harus pake vpn baru bisa akses.",0,0,0,0
"keren bangett.. berkah selalu untuk ilmunya bang,dimudahkan segala urusan. aamiin ",0,0,5,0
"suara nya sih pas",0,0,3,0
"ini asli latar belakang nya diganti",0,0,0,0
"vvn nya gx bisa di instal gx bisa di apa apain",0,0,0,0
"semoga menjadi amal yang baik untuk dilancarkan rezekimu mas",0,0,0,0
"@",0,0,0,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap.",0,0,0,2
"iya gan,udah diblok sekarang",0,0,0,0
"ketuker ya kak,kalau bikin prompt manual,pastikan sebut nama aja kak,jadi di awal prompt misal rudi says: atau rini says: gitu. kalau mengikuti generator ini sudah otomatis disusun rapi kak",0,0,0,0
"iya bang cloudskillboost api key udah tidak bisa",0,0,0,0
"user friendly parah,pemula pasti langsung paham. hp kentang saya tidak kuat jalanin aplikasi ini.",0,4,0,0
"plis ai tuh yang kek gini,buat pelajaran. kek lebih nyantol daripada dengerin aja. kalo di adain disekolah pasti seru+menarik",0,0,0,0
"kak cara bikinnya gimana ini?",0,0,0,0
klo,0,0,0,0
"sama2",0,0,0,0
"itu suaranya siapa ya",0,0,0,0
"skrng gw tw knp muka rasul tidak pernah di ceritakan",0,0,0,0
"dosen saya nyaranin pake ini buat riset. parah sih",0,0,2,0
"dosen saya nyaranin pake ini buat riset.",0,0,0,0
"kok jadi takut ya..",0,0,2,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap. anjir",0,0,0,2
"support-nya oke,ada panduan lengkap di websitenya. ribet bener interfacenya,bingung mau klik mana. parah sih",0,1,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini. koneksi internet harus stabil biar tidak gagal terus. gokil",0,0,5,0
"trimkasih kk,semoga berkah",0,0,0,0
"iya kling klo dari hp lama banget (pernah smpe setengah jam)",0,0,0,0
"tergantung arah videonya mau dibuat seperti apa,misal ini kamu buat tentang cerita sejarah atau dokumenter,maka bisa dipastikan bisa monet meski 100% ai karena ada nilai di dalam videonya yakni pengungkapan sejarah dll",0,0,0,0
"goood ide nostalgia sejarah ",0,0,5,0
halo juga...,0,0,0,0
"auto subrek terimakasih om",0,0,0,0
"entah kenapa sebagusnya ai tapi tidak ada emosinya menurut gw",0,0,0,0
"��jatuh",0,0,0,0
"bedanya veo 2 sama veo 3 apa bang",0,0,0,0
"konsistensi karakter butuh model dengan fitur khusus,seperti pose tracking atau face recognation yang lebih advance.",0,0,0,0
"berarti biar muncul veo 3 nya wajib vpn ya",0,0,0,0
"kok saya tidak ada bayar ke ponsel ya cuma dua doang bang",0,0,0,0
"pengen banget bang saya belajar,,dan saya masih bingung pakai,,,terimakasih ini ilmu nya sangat bermanfaat,,,smoga sukses selalu,,akan saya coba ya bang",2,0,5,4
"agak ribet lebih mudah pakai ktm kartu mahasiswa tinggal buat ktm dari ai bisa bonus setahun gemini pro",0,0,0,0
"ga",0,0,0,0
"mungkin masih pakai veo 2 ya,pakai vpn us kak,biar bisa akses veo 3,jadi langsung ada suaranya",0,0,0,0
"keren mas,gak pelit ilmu,",0,0,5,0
"coba pakai veo3 prompt generator yang ada di link deskripsi. disitu ada opsi pilih ras/etnis.",0,0,0,0
"mantap,kalo untuk bikin video klip musik dengan karakternya dari sampel anggota band bisa bang? tapi bukan animasi? mohon pencerahnnya",0,0,0,0
"setiap hari berubah jadi harus ubah ke vpn lagi setiap hari dan vpn kota amerika nya ganti bang",0,0,0,0
"tidak selalu sama bg,karna ai tidak bikin yang sama persis tiap generate,jika ada yang terasa masih kurang dari hasil aplikasinya,minta bantuan lagi ke dia",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. rekomendasi dari komunitas ai ini emang tidak pernah gagal.",0,0,0,0
"which one?",0,0,0,0
"kenapa sy coba tidak ada suara nya min?",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"��",0,0,0,0
"lanjut kak,",0,0,0,0
"kuota boros banget buat generate video 10 detik doang.",0,0,0,0
"bang gimana supaya konsisten muka nya",0,0,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini. wkwk",0,0,0,0
keren bang,0,0,3,0
"jadi suaranya juga dari ai bang? gila sih logat dan nada nya tidak kaku udh kek asli",0,0,0,0
"kenapa yang saya buat tidak ada suaranya",0,0,0,0
"kaya kenal videonya :face-blue-wide-eyes:",0,0,0,0
"boleh hubungin ke email dulu ya kak,kesini ya nalarka.indonesia .com",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini. mending skip",0,0,0,0
"ngeriii",0,0,0,0
"punyaku kok tidak pake bahasa indonesia ya ngomongnya",0,0,0,0
"terimakasih bang,lancar selalu rejekinya",0,0,0,0
"nanti klau ada waktu senggang kulik cara buat karakter yang konsisten bang di veo3 ini",0,0,0,0
"sama2 bang",0,0,0,0
"mengerikan ketika disalahgunakan untuk hal² negatif ",0,0,0,0
"keren kreator nya,ga pelit ilmu auto subrek..ngejar amal jariyah nih pahalanya ngalir terus seperti ustman bin affan aamiin..nggak ngejar cuan semata membantu teman² sebangsa dan setanah air yang lagi butuh ilmu ai tanpa bayar &belum mampu beli kelas mahal",0,0,5,0
"ketara dari suaranya,soalnya pasaran",0,0,0,0
kumpul sini yang tak faham,0,0,0,0
"ai nya lupa,zaman kerajaan belum ada pabrik ban..... (ada ban di kapal laut)",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini. menu-menunya membingungkan,banyak iklan ganggu. no debat",0,0,0,0
"mukanya bisa pake foto kita tidak bang?",0,0,0,0
"bang ada masalah,api masih dalam wakt 1,5 jam,namun setelah berhasil generate 1 video,saya coba ubah narasi seperti video abang di atas untuk generate di video ke 2 langsung gagal,invalid argument,invalid api key,apa hanya sekali saja ini bang generate nya?",0,0,0,0
"biar karakternya konsisten gimna? wajahnya pake apa biar sama?",0,0,0,0
"kenapa jadi berubah ya??gini bang maksudnya kalo obrolan jadi tiga orang itu gimana,​ ",0,0,0,0
"mantab bang ilmunya sdh sharing dsini....selalu sehat dan sukses sllu bang... aamiiin yra ",0,0,0,0
"mungkin inilah yang dinamakan perkembangan zaman,apapun yang terjadi kedepannya kita harus bisa menyesuaikan diri seiring dengan perkembangan teknologi yang ada",0,0,0,0
"mukanya ada di dunia nyata tidak ya",0,0,0,0
"mantap gan,lumayan puyeng nyimak nya,kapan2 kalo otak lagi fresh aja nyobainnya haha",0,0,5,0
"sekarang tidak bisa percaya video apa pun!",0,0,0,0
"keren bang... baru tau saya.. bisa buat app di gemini... terima kasih bykan bang...",0,0,5,0
"silahkan cek update komen yang di pin kak",0,0,0,0
"bang kalo utk penambahan suara bagaimana ya",0,0,0,0
"mantap bg ini baru bermafaat sub msh ribuan tapi konten nya bermutu tidak kek channel besar cuma mau cuan jualan class,terima kasih bnyk bg auto sub,next tolong buatin solusi video agar tidak 0 view dong bang untuk akun yang baru di buat . terima kasih sukses sllu untuk abgnya",0,0,0,0
"cung yang takut lihat ai ????",0,0,0,0
"pasti ada perbedaan sih...",0,0,0,0
"bang mngkn bisa di coba menggunakan lokasi tempat/alamt yang realitis brngkli sesuai dgn google map,",0,0,0,0
"ngebantu cari ide konten pas lagi mampet. laptop spek rendah tetep bisa akses lewat cloud,mantap. wkwk",0,0,0,2
"mas tapi ini masih permulaan loh udah semulus ini. bayangin 5 tahun ke depan. gw yakin asli sama ai tidak bakal keliatan",0,0,0,0
"keliatan kok kalo mau bedain ai sama asli,dari mulut,sama gestur tangan",0,0,0,0
"masih ada kesan cheap look dari video yang dibuat ai. tapi ini start yang bagus. mungkin 3-4 tahun lagi",0,0,0,0
"alamak",0,0,0,0
"nah gini loh ai tuh di pake yang bener jadi ada gambaran gitu ke zaman dulu",0,0,0,0
"itu sora",0,0,0,0
"saya udah buat video tutorial itu,cek sendiri aja ga...",0,0,0,0
"manusia2 yang ada di ai itu ada tidak versi manusia nyatanya ngga si?",0,0,0,0
"baru kali ini saya sulit membedakan antara ai atau bukan,karna ekspresi ny sangat terlihat natural",0,0,0,0
"mau nya mbak nya jangan naik",0,0,0,0
saya gratis 15 bulan pake akun edu...heheheh,0,0,0,0
"masukannya keren,makasih udah berbagi. sukses terus buat kakak juga! ",0,0,5,0
"bikin nya dmn bang?",0,0,0,0
"semoga penjelasan ini bs dimengerti dan dimaklumi ",0,0,0,0
"ai membuatku jadi manusia super...",0,0,0,0
"saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",0,0,0,0
"ditunggu video tutor selanjutnya ya otw upload",0,0,0,0
"ini biar lebih 8 detik gimana ya?",0,0,0,0
"kok punyaku bahasa inggris munculnya",0,0,0,0
"terimakasih bro semoga sehat selalu dan rezekinya lancar amin",0,0,0,0
"ngebalikin klip-klip jadul",0,0,0,0
"saya cuma sampe 8 detik doang,gak lebih",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"apa memang hasil video nya maksimal 8 detik ya bang?",0,0,0,0
"kok jadinya malah bhs inggris ngomongnya...aneh...udah di kasih penjelasan tetep bhs inggris..gmna solusinya",0,0,0,0
":\jangan terkecoh sama story gerindra\\niya anj iya",0,0,0,0
"biasanya ada yang punya ide,ini belum ada keknya",0,0,0,0
"dan sudah muncul video2 di grup kompleks dan rt",0,0,0,0
"tempat ku tidak ada video,adanya foto sama teks",0,0,0,0
"yang jelas jelas terganti adalah reporter berita / pembawa acara berita,gausah capek capek casting dan take berkali kali,gausah gaji orng,gausah repot2 beli kamera mahal",0,0,0,0
"ai cuma buat iklan aja . kalau buat mikir dan aktifitas ttp manusia yang lakuin .jasa iklan panik ",0,0,0,0
"atau telpon biasa saja soalnya wa ku ada yang sadap sering error .",0,0,0,0
"",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"bang bisa tidak buat image to video",0,0,0,0
"veo2 kali yang dicoba,bukan veo3",0,0,0,0
"bro kok di akun aku gkada video yaa...cuma ada deep research dan canvas,gimna yaa cara menampilkan video tnkyu bro...",0,0,0,0
"ai klo buat ilustrasi gitu bagus njir ",0,0,0,0
"terima kasih ilmunya mas,sehat dan bahagia selalu",0,0,0,0
"yang mau biar drive nya 2tb selama 15 bulan komen ya.. dan udah pasti bisa make gemini veo 3 ini",0,0,0,0
1. sudah langganan google ai pro,0,0,0,0
"mas bisa tidak sih pakai muka kita sendiri hehe.",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. asli",0,0,0,0
"masih nampak banget ai ny",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. rekomendasi dari komunitas ai ini emang tidak pernah gagal. gas terus",0,0,5,0
"you r amazing indonesian man ",0,0,5,0
"aamiin makasih bang",0,0,0,0
"dibatasi 8 detik saja kah om",0,0,0,0
"output-nya kurang akurat buat kebutuhan profesional.",0,0,0,0
"aku sdh coba buat,tapi kenapa tidak ada suaranya?",0,0,0,0
"wkwkwk nyiptain dari mana dirimu cuma mengarang,hanya tuhan aja yang bisa nyiptain sesuatu",0,0,0,0
"user friendly parah,pemula pasti langsung paham. no debat",0,4,0,0
"user friendly parah,pemula pasti langsung paham.",0,4,0,0
"yaela makin susah jelasin apa itu ai ke gen milenial yang gaptek sma teknologi",0,0,0,0
"tools ini ngebantu banget buat nyelesain tugas kuliah. banyak influencer yang bahas,jadi penasaran.",0,0,0,0
"tunggu kabar ai mencoba menguasai bumi wkwk",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"bang tolong jawab,apakah bisa nerapin tutor kaya di video lewat hp?",0,0,0,0
"bang saya buat kok tidak muncul suaranya ya. malah muncul text saja",0,0,0,0
"output-nya kurang akurat buat kebutuhan profesional.",0,0,0,0
"mungkin masih veo 2",0,0,0,0
"mungkin karena sekarang udah dibatasi bang api key dari cloudskillboost",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"backgroundnya asli,orangnya ai",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana. banyak influencer yang bahas,jadi penasaran.",0,0,5,0
"keren bang,makasih ilmunya",0,0,5,0
"sekarang masih mudah di tandain,contoh ai sekarang durasinya baru 8 detik",0,0,0,0
"temen-temen kantor udah pada pake,masa saya nggak. instalasi vpn-nya bikin pusing tujuh keliling.",0,0,0,0
"masih work ?",0,0,0,0
"terimakasih kak,silahkan dieksplor lebih lanjut",0,0,0,0
"sukses selalu kak",0,0,0,0
"iaaaa",0,0,0,0
"ngeriiii bgt",0,0,0,0
"aamiin,silahkan dieksplor lebih lanjut kak",0,0,0,0
"takut banget anjir",0,0,0,0
"itu kenapa paling males upload muka di internet. takut dimanfaatin orang untuk hal yang tidak kita tau.",0,0,0,0
"kuota boros banget buat generate video 10 detik doang.",0,0,0,0
"gagal terus pas upload video nya...",0,0,0,0
