comment,sentiment,PE,EE,SI,FC
"mohon ijin bertnya mas,saya sudah mencoba menginstal vpn chrome tapi tidak bisa dijalnkan vpnya..mohon solusinya makasih",neutral,0,0,0,0
kok di aku tidak ada suaranya ya bang,negative,0,0,1,0
jgn² mas ini buatan ai juga ya,neutral,0,0,0,0
mas ini benar benar keren..,positive,0,0,5,0
kalau dah premium ada batasan buat video tidak ya kak ?,neutral,0,0,0,0
bang kok punya ngk ada suaranya,negative,0,0,1,0
punya ku gada suaranya kenapa ya?,negative,0,1,1,0
"mau tanya mas,kenapa veo 3 saya tidak ada suaranya,prompt apa yang harus diperbaiki ?",negative,0,0,1,0
"bang,kalau tidak ada suara nya kenapa y",negative,0,0,1,0
itu jadi akun pro bayar yaa,neutral,0,1,1,0
ini ada batasan durasinya gak?,neutral,0,1,1,0
kok di google play saya tidak muncul metode pembayaran melalui aplikasi?,neutral,0,1,1,0
kok suaranya tidak muncul atau tidak kedengeran yaa,negative,0,0,1,1
amerika memang hebat,positive,0,0,2,0
"bang menta caranya dong,gw udah coba tiru yang kek lu bang,tapi kenapa hasil nya berbahasa inggris ya bang,,semoga di jawab",negative,1,0,1,0
terima kasih sharingnya mas. sungguh berguna,positive,1,0,4,0
gua dah pake vpn masih veo2 bang,negative,0,0,1,1
prompt,neutral,0,1,0,0
"pake frompt bahasa inggris,hasilnya bahasa inggris d tutorial ko bhasanya indo gimana caranya",neutral,0,1,1,0
"bang ku ada ide,bikin meme dongeng2 habib yaman pasti meledak tu",neutral,0,1,1,0
ttp berbayar,neutral,0,0,1,1
"bang mau tanya,kalo waktu klik opsi lainnya malah disuruh beli saldo google play gimana ya ? terima kasih",neutral,1,0,0,0
main di badui toto agar gacor,neutral,1,0,1,1
terima kasih bang ilmunya,positive,1,0,1,0
"di prompt nya bahasa inggris tapi jadinya kok bahasa indonesia ya,aku buat tetep ngomongnya bahasa inggris",negative,0,0,1,0
"bang kok gua bikin tapi bahasanya inggris si bukan indo,gimana ya bang mohon arahannya",negative,0,1,0,0
ko tidak bs ya vpn nya di download,negative,0,1,1,1
kok tidak ada suaranyaa ya,negative,0,1,1,1
dikasih tau donk akhirnya hanya 3kali regen video doank setelah itu harus nunggu sampe 5 hari wkwkwkwkwkwwkwkw,neutral,0,1,1,0
keren bg,positive,0,0,5,0
bang kenapa y hasil video yang aku buat berbicara nya dalam bhs inggris. untuk supaya berbicara bahasa indonesia caranya gimana bang mohon bimbingan nya terimakasih sebelumnya,negative,0,0,0,0
tidak ada penawaran melalu hp bang..,neutral,0,1,0,1
"pondok gede bekasi,hadir. gemini yang ada tidak ada video,sy ikuti petunjuk,blm bisa,juga blm ada pro di akun.",neutral,1,1,1,1
"wah thanks bang,udh gw cba berhasil. tapi klo mau di jadiin bahasa indonesia gmn yaa bang caranya,karena pas jadi ngomong di videonya pakai bahasa inggris..?? mohon arahannya. thanks",negative,0,0,1,0
mas bisa tidak sih pakai muka kita sendiri hehe.,neutral,0,1,0,0
tks min,neutral,0,1,0,0
kalau wajah dari video ingin menggunakan wajah kita gmn itu kak ?,neutral,0,1,1,0
bang kok punyaku stuck di veo 2,negative,0,0,1,0
makasih bang sudah berbagi ilmu,positive,1,0,1,0
sekarang blm bisa lagi ya veo 3,negative,0,1,0,0
kok saya pujya gakk ada suara yah kak?,negative,0,0,1,0
"saya coba buat kok tidak ada suara bang,cuma video saja",negative,0,0,1,0
"itu katanya gratis,tpi ada opsi pembayaran lwt ini itu",neutral,0,1,1,0
"bang mau nanya,semisal kita pakai contoh foto orang yang sudah kita punya dan tinggal menganimasikannya itu bisa ga???",neutral,0,1,0,0
kalo opsi videonya tidak muncul gimana bang ?,neutral,0,0,0,0
knapa hasilnya pake b inggris ya dialognya? pdhal di prompt pas dialog pakai bahasa indonesia,negative,0,1,1,0
bang koq gwe bikin malah bahasa inggris ya ai ny ngomong,negative,0,1,1,0
"bang saya udah bisa bikin nya tapi ko enggak ada suara nya terus ya,bantu jawab",negative,0,0,0,0
bisa dibuat adu domba ama negara lain ni,neutral,0,0,0,0
pake hp tidak bisa bang,neutral,0,1,0,1
pakek hp tidak biasa bang?,neutral,0,1,1,0
punya saya tidak ada suaranya bang,negative,1,0,1,0
"bang ijin bertanya,saya buat video pakai google veo3 kok cuman bisa 8 detik saja ya? gimana caranya biar bisa panjang sampai 9-10 menit gitu?",neutral,0,0,0,0
"happy banget bisa dapet rezeki besar dari 𝐁𝐓𝐕❶❻❽,bener-bener puas!",positive,1,0,5,0
��𝐓𝐕❶❻❽ menawarkan pengalaman visual yang menarik.,positive,1,1,2,1
"rezeki tak terduga datang dari 𝐁𝐓𝐕❶❻❽,makasih banyak!",positive,1,0,0,0
"happy banget,hasil dari 𝐁𝐓𝐕❶❻❽ bikin hariku makin ceria!",positive,1,1,5,0
kenapa hasil videonya berbahasa inggris ya bang ?,negative,0,1,1,0
bahasanya masih inggris gmna ngerubahnya ya,negative,0,1,1,0
pakai phto sendiri bsa?caranya?,neutral,0,1,0,0
tidak bisa 1 menit yaa,neutral,0,1,0,1
bg sy knp tidak ada suaranya ya,negative,0,1,1,0
aku bikinn kenapa tidak bisa ada suaranya ya cuma gerakan bibir,negative,0,0,1,0
dunia sedang tidak baik baik saja gara ai google veo 3,negative,0,0,0,0
ku kira 100% gratis,neutral,0,1,1,0
kenapa punya saya tetap veo 2 padahal suadah pakai vpn dan sudah gemini pro,neutral,0,0,0,1
bang apakah videonya bisa lebih dari 8 detik?,neutral,0,0,0,0
saya ko tidak ada suaranya bang..,negative,1,1,1,0
coba jelaskan maksudnya gratis itu gimana? saya sudah install vpn baru setelah itu disuruh bayar sama si veepn? tidak ada pilihan free nya??,neutral,0,1,0,0
baju nya ngebug 0:01,negative,0,1,0,1
kok vpn nya tidak gratis pas saya coba mas?,negative,0,0,1,0
bang saya tidak ada suaranya,negative,1,1,1,0
"kedepannya akan ada profesi yang bakal hilang,ayo semangat kita untuk belajar...belajar biar tidak ketinggalan",positive,1,0,2,1
thanks for showing how to use google veo 3 like a pro. can’t wait to try the viral movie ideas from your second video next,positive,1,1,1,0
"tidak ada opsi buat by vidio,apa harus gemini pro ya?",neutral,0,1,1,1
bang video ku kok tidak ada suara ya,negative,0,1,1,0
yang up vlog di neraka lu bukan bang,neutral,0,0,1,1
"sudah pakai vpn yang sama tapi hasilnya tetap tidak ada suara,gimana tuh bang?",negative,0,0,1,0
bayangkan seorang istri melihat suaminya tidur dengan wanita lain..dan itu adalah ai..si istri tidak bakal percaya.....ancuur tu rumah tangga,negative,1,0,0,1
mungkin admin ini ai?,neutral,0,1,0,0
"kok aku tidak muncul veo 3 ya,padahal sudah upgrade pro",negative,0,0,1,1
kok aku tidak ada suaranya mas yah? boleh minta saran?,negative,0,1,1,0
monas koq bentuknya gitu ya,negative,0,0,0,0
jadi b0k3p. kerusakan parah.,negative,1,1,0,1
buat vidio apa yang muncul orang lain bikin vidio ya kita pilih vidio kita terus di pindah kan gitu.kalo itu apa hebatnya tidak bisa bikin vidio wajah kita sendiri,negative,1,1,0,0
batasnya cuman 8 detik bang? bisa lebih nggak?,neutral,0,0,0,0
,neutral,0,1,0,1
thanks bang konten mudah syekali untuk dimengerti,positive,1,1,1,0
"belum pernah berhasil,kadang suaranya tidak keluar,kadang suaranya beda sama yang di prompt kan,ngga tau salahnya dimana - padahal copypaste dengan prompt yang mas ini tulis. dan sudah via chatgpt juga",negative,1,1,1,0
aku nyoba dari tdi muter2 mulu ngga slsai2 hasilnya...,negative,1,1,1,0
bang kok saya video nya ngomong nya bahasa inggris ya bukan bahasa indonesia,negative,0,1,1,0
kagak doyan google,negative,0,1,1,1
"kalo udah tidak gratis,bayarnya berapa/bulan",neutral,1,1,0,0
"bang,aku udah pake vpn,tapi ngga ada tombol videonya. kira kira kenapa ya?",negative,0,1,0,0
dan lu asli apa ai bg??,neutral,0,1,0,0
monas bentuknya bukan begitu ya,negative,0,0,0,0
kok aku gada ya kak.,negative,0,1,0,0
opsi pilihan video nya?,neutral,0,1,0,0
google semakin didepan,positive,0,0,0,1
ane ud coba kok tidak nongol suara di videony y?,negative,0,0,1,0
bang.. punyaq waktuo pembayaran di playstore kok ndak muncul pilihan dana gopay dll ya.. hanya plihan kartu debit dll.. gmana ya bang..,neutral,0,0,0,1
sory tanya saya bikin tidak ada suaranya,negative,0,1,1,0
bang. . bisa tidak buatkan untuk bisnis rental mobil saya,neutral,1,0,1,1
pertanyaannya bayar tidak,neutral,0,1,1,0
"saya butuh seseorang yang mau mendanai saya untuk menjadi editor ai lebih realistis,",neutral,1,0,1,0
bang saya kluarnya bahasa inggris mulu tidak bsa bhasa indo,negative,0,0,1,1
"kayaknya emang udah bisa 1menit bahkan 1jam,tapi emang ditahan dulu,kalau dikeluarin sekarang takutnya kedepannya udah g ada perkembangan lagi,alhasil dapet duit pun berpengaruh",positive,1,0,0,0
tidak bs konek ke gopay,negative,0,0,0,1
bang ko di gua mah hasilnya tidak ada suaranya,negative,1,0,1,0
"cuman bisa buat 3 video,gimana caranya supaya bisa unlimited tanpa batas buat videonya",neutral,0,1,1,1
sekarang gabisa keluar audionya yah kak,negative,0,0,1,0
dan video yang ke 2 tidak ada suaranya gimana solusinya bang,negative,1,0,0,0
hanya kpd alloh lah kita perlindungan.,neutral,1,1,0,0
google punya database video terbanyak,neutral,0,0,1,0
wow. buat prompt dengan prompt,neutral,0,0,1,0
"maaf newbie,kalo udah jago bikin konten pake ai,trus dapat duit nya darimana aja bang..? kan wajah kita kaga muncul,kaga ada yang mau endorse",neutral,1,1,0,0
bang ini cuman bisa 8 detik,neutral,0,0,0,1
"sudah tidak bisa,cuma 2 metode sekarang",neutral,0,1,0,1
masih cari pnjlelasan knpa vidio yang saya buat tidak ada suara nya padahal udh bikin prompt sedetail mungkin,negative,0,0,1,1
"mas,hasil video saya kenapa tidak ada suaranya yah?",negative,0,0,0,0
"tidak ada ngeri nya di depan penyepong china russia. ada aja alasan mereka untuk menghujat barat,ngata'in standar ganda padahal mereka juga masih bergantung sama produk barat,contoh aja ni youtube",negative,0,0,0,0
punya saya tidak ada suara yah,negative,1,0,1,0
bg di punyaku kenapa tidak muncul (bayar di ponsel anda) yaa ?,neutral,1,0,1,0
bang kalo bikin video wajah kita sendiri gemana,neutral,1,1,0,0
"saya coba upgrade gemini pro belum bisa,terkendala penawaran pembayaran harus lewat google one,tdk ada pilihan pembayaran lewat gopay. gimana mas??",neutral,0,0,0,1
kalau mau 3 menit gimana ya bang? ko aku 8 detik terus,neutral,0,0,0,0
monas macam menara alor setar,negative,0,0,1,0
apa ada hubungannya dengan scan retina mata yang meghasilkan uang itu ntahlah,neutral,1,0,0,0
"bang,kenapa video saya tidak ada audio nya ya ? udah coba 3x promt,gk ada audionya semua",negative,0,0,0,1
"mas mau nanya,kenapa di gemini ngga muncul menu video nya ya?",neutral,0,0,1,0
bang mohon info veo 3 pro durasi video bisa maksimal berapa detik ya ?,neutral,0,1,0,0
ini gw tidak bisa dapetin yang free tiap daftar minimal harus ada sisa uang kah 309rb di saldo?,neutral,0,1,1,0
bang gw udah buat pakai prompt yang lu bikin tapi gw edit dikit untuk percakapan nya tapi kok hasilnya tidak keluar suaranya ya gimana solusinya bang,negative,1,0,0,0
kok punya gw malah veo 2 jadinya bang?,neutral,0,0,0,0
"bang,nerima order pembuatan video tidak ya,untuk promosi",neutral,1,0,1,0
"berapaan veo 3 sih? pengen,tp takut mahal masih youtuber pemula",neutral,0,1,1,1
pakai android bisa tidak bang ?,neutral,0,1,0,1
makasih bang sangat bermanfaat,positive,1,0,4,1
"buatkan prompt gogle veo 3 seorang wanita cantik berambut panjang dengan begrond lomba burung canary seolah ngevlog sambil berbicara bahasa indonesia burung kenari anda macet pakan magic solusinya,pakan herbal untuk burung macet dengan ceria",negative,1,0,0,1
harus punya banyak akun donk bang,neutral,0,1,1,0
"min itu gemini nya yang berbayar ya ??? kelihatan dari accountnya pro,yg gratis tdk ada menu video nya",neutral,0,1,1,0
bosan,negative,0,1,1,0
kok aku di hp tidak bisa di download yah hasilnya...udah berhasil di download tapi filenya tidak muncul di galeri.,negative,0,1,0,1
aku sudah pake vpn tapi masih saja tidak muncul video nya... tetep saja harus pro kan???,negative,0,1,0,1
lama pekerjaan aktor alan digantiin pake ai,negative,0,0,0,0
saya yakin yang bikin konten ini ijazahnya asli,neutral,0,1,0,0
"ini baru channel,membahas secara rinci dan tutorial yang detail. auto subrekkkkkkk lu bang",positive,0,1,1,0
maaf ka saya mau nanya? kok saya sudah pro tapi masih vio 2,neutral,0,1,1,0
biar logat nya jadi bahasa indonesia gm,neutral,1,0,1,0
gua bikin kenapa hasil videonya ngomong pake bahasa inggris mulu ya,negative,0,1,0,0
waktunya singkat banget cuma 8 detik,neutral,1,1,1,0
monas nya tidak asli bang yaa,negative,1,0,1,0
sama,neutral,0,1,1,1
"​ ternyata kita harus rubah ke bahasa inggris,dan kalo mau kasih dialog kita harus nambahin kata misal kaya : berkata dengan bahasa indonesia atau berbicara dengan bahasa indonesia,atau tidak lu coba bikin dialog terus pas promt udh jadi,lu bilang lg ke chatgpt nya pastika karakter mengatakan dialog yang saya buat",neutral,1,0,0,0
"kurleb begitu sih,gua bikin udh berhasil",neutral,0,1,1,0
bang saya coba udah ada ada vido nya kok tidak ada suaranya ya ?,negative,0,0,1,0
jgn sampai ada yang bikin video 3gp ariel dan wulan,neutral,0,0,0,0
beberapa kali nyoba tapi kok tidak ada suaranya yang malah jadi video gagu,negative,0,0,1,0
negara komunis cina pasti langsung buat tiruan negara kw,neutral,0,1,0,0
"bang knp hasil videonya berbicara bahasa inggris yaa prompt nya sdh saya pakai bhs indonesia,tetap juga sama hasilnya berbicara menggunakan bahasa inggris",negative,0,0,0,1
udah pake vpn tapi masih veo2,neutral,0,1,0,1
a.i. tidak bisa mengucapkan namanya sendiri,negative,0,1,1,0
