comment,label
"generate video terbatas, dan harus nunggu sekitar 2 mingguan lagi . padahal udh pakai yang langganan siswa 15 bulan.",1.0
ini berbayar?,1.0
kak nulisnya bahasa inggris tapi ngomong nya bahasa indonesia,0.0
ai jika digunakan dengan baik:,2.0
kalau mau upgrade budget kisaran brp bang?,1.0
"iya gan, kayaknya 100 poin itu cukup 4-5 kali generate, misal poin sdh habis bisa unduh gambarnya lalu di generate di generator lainya jg bisa",1.0
bang bagus nya laptop yang kita pakai speknya apa? karena tidak semua laptop bisa mendukung,1.0
"makin gilaa aja sich ai , alat propaganda dan fitnah terbesar...",0.0
???,1.0
kenapa yang setelah generade tidak ada suaranya ?,0.0
kalau nanti ada yang nge fans sama artisnya?,1.0
"konten begini bisa di monet tidak ya, min ?",1.0
obrolannya kyk khas gt ya kalo ai,0.0
iya gan kita cari suara anak kecil lom nemu jadi seadanya aja toh juga buat video contoh aja soalnya,0.0
"support gan, tadi barusan saya coba",1.0
ternyata pelapis body kapal maja pahit dulu pakai ban mobil bekas yahhh??,1.0
wah...ai meresahkan...privasi kita semakin tidak terkontrol ya....??????,0.0
situs nya down,0.0
orang majapahit udah berhijab ??????,1.0
kok yang gua gada suara nya ya?,0.0
klo tidak ada suarana apanya yang salah?,0.0
bagaimana cara lipsink jika dalam 1 fram ada 2 karakter?,1.0
thanks bang atas tutornya udh ku subs??,2.0
"siap gan.... dengan senang hati bisa membantu dan memberikan manfaat buat orang lain,,,,, semoga sukses.....",2.0
"kalo udah tidak gratis, bayarnya berapa/bulan",1.0
"saya tidak ingat lg bg, copas dr aplikasi itu",0.0
belajarnya mulai darimana ka?????..,1.0
klo pke iphone gmna bang?,1.0
yang ngeri bukan cuma bisa gantiin profesi manusia tapi juga bisa disalahgunakan untuk hal yang negatif,0.0
"di video terbaru saya itu sudah aku buatkan, cek aja ya ??",1.0
"bang, kenapa punya saya pilihan pembayaranya tidak ada pilihan yang e-walet?",1.0
"ok nanti kalau bkin lagi saya usahakan lebih slow temponya, utk mengakali sekarang, kmu bisa stop pas bagian yang tidak kamu ngertiin itu untuk dipelajari.... semoga ini bisa membantu...",1.0
disitu ada hotelnya gak? mau berkunjung sampe 3 haru,1.0
oke makasih gan ??,1.0
sama2 kk,1.0
?ï¿½ ¿½coba pake wahah teman atw kluarga jngn wajah orang publik pigur,1.0
mungkin masih veo 2,1.0
"menarik. reaksi orang berbeda2. daripada ngeri, bisakah melihat ni juga sebagai peluang atau kesempatan diri ini utk tidak terlalu bereaktif / sabar dengan berita yang muncul? tidak gampang mengiyakan dan sebar hoax. peluang berlatih menahan diri, dan makin bijak memilah konten menjadi lbh banyak. itu dari segi non pengguna/penikmat konten. dari segi kreator, ai = peluang, mempermudah bahkan memberi kesempatan utk membuat konten yang bermanfaat yang lbh daripada fitnah. trgantung mentalitas yang pake sih ibarat pisau: awalnya dipake tuk berburu binatang, mungkin utk potong sayuran, tapi ada juga penggunanya yang make utk membunuh sesamanya. dan ada juga non pemakai yang takut kl pisau bisa dipakai utk melukai dirinya, ada yang biasa2 aja, ada juga yang ngerasa bermanfaat dgn adanya pisau",2.0
makasih kang,1.0
jangan buat ea banyak orang menyalahgunakan banyak orang menyalahgunakan ai 1:03,0.0
sukses selalu masyawi,2.0
mantaaaaab tq brother,1.0
kuasa allah ??,1.0
"wah terimakasi banyak mas ilmunya..., mau tanya juga bang mohon dijawab ya, saya udah coba ikutin stepnya dan berhasil tapi ko cuma 8 detik ya dan kalimat yang diucapin tidak semuanya apa karena terlalu panjang ? atau ada batasan kalimat jadi tidak bisa lebih dari 8 detik ?",1.0
aku sdh veo3 tapi pas jadi g ada suara nya,0.0
"waduh mohon maaf gan.... kita tidak buka kelas karena kita juga masih dalam tahap belajar dan pengembangan teknik ngonten secara mendalam, jadi untuk sementara pantengin aja lewat video-video yang akan selalu saya share di chanel ini... sekali lagi mohon maaf ??",1.0
req kerajaan elf kak ??,1.0
saya kena limit . harus nunggu tgl 13 baru bisa pake ?????? kampret emang,1.0
bang ko bikinan gw tidak ada suaranya itu salahnya dimana ya bang,0.0
baru tau ternyata jaman majapahit udah ada wifi,1.0
tidak ada suaranya,0.0
bg klw wajah dari orgnya itu dibuat dgn wajah sendiri bisa tidak,1.0
"bang gw udh coba buat dan berhasil, cuma gabisa isi suaranya, cuma video doang, pas gw tanya ""can you add sound and voice "" di balesnya gabisa bang",0.0
"anjaay, kkeren nih klo ada prompt untuk veo 3, belakang kelas mantaap, makasih kak ??????",2.0
"video yang saya bikin cuma sampai 8 detik aja, narasinya jadi terpotong, mohon pencerahan kak",1.0
bayar tidak bang ai nya?,1.0
"yang bagian mana maksutnya, whisk? atau lemon slice nya ?",1.0
,1.0
"ditangan yang tepat dan kreatif akan bermanfaat, sebaliknya orang yang iseng beda cerita",2.0
kok saya suaranya tidak ada ya ?,0.0
susah ya saya selalu bahasa inggris trs tidak bisa bahasa indonesia,0.0
loh ini kan udah video tutorial....,1.0
berarti tidak gratis itu?,1.0
"bisa bg, kan gemini ad diandroid",1.0
welcome to kiamat ai,0.0
keren kak vio3 saya buat video masih veo2 gratisan di google gi mana caranya buat video seperti itu apa ada rekomendasi dari apk lain kah? sampai si ceweknya tidak berubah rubah,2.0
"ya konsisten, cek aja langsung",2.0
"mantab.....?????? kamu sudah menangkap poin penting dari cara memaksimalkan penggunaan open source , dan ini adalah aset mahal jika bisa digunakan utk pengembangan potensi diri.... good job ??????",2.0
"? waduh...kita juga masih dalam tahap pengembangan, jadi apa yang sudah kita pahami akan selalu saya share lewat chanel ini, jadi utk sementara waktu ini kita berbaginya secara umum sperti ini aja ya tanpa ada kelas khusus ??",1.0
ini klo ke fb pro kena pelanggaran tidak ya temanï¿½?,1.0
"punya ku tidak ada suaranya ,????",0.0
batasnya cuman 8 detik bang? bisa lebih nggak?,1.0
semakin canggih semakin banyak fitnah di depan mata..,0.0
"kalau ada unsur ide kreatifnya insya allah aman, misal kisah inspiratif, motifasi atau dokumenter gt... dan kalaupun tidak lolos, masih ada alternatif lain di platform sbelah masih aman, jadi jgn berfikir panjang langsung aja action...",1.0
buatkan prompt untuk google video,1.0
"om, punya saya ko tidak muncul suaranya kenapa ya?",0.0
"ai ini, sebagaimana teknologi lainnya, ibarat pedang bermata dua. digunakan dgn niat baik, jadi sarana berbagi ilmu dan kreativitas. digunakan dgn niat tidak baik, dan dishare di grup keluarga, waduh... alamat ribut tidak tuh... sobat2 yang mau belajar ai, monggo. dipersilahkan. untuk nyari uang, juga monggo. cuman, gunakan dgn bijak ya... jangan digunakan buat hal2 yang tidak baik... sebab, orang lain bisa terkena dampak buruknya, bahkan mungkin juga, orang2 terkasih di sekeliling anda.",2.0
bang bisa tidak bang videonya lebih dari 8 detik?,1.0
keren kk saya mau coba,2.0
iya bang sama.. apa memang di jatah perhari brp vidio gitu ya,1.0
pastikan settingan vpn sesuai tutorial,1.0
bg tidak ada buka kelas untuk youtube automation?,1.0
kok punya q tidak ada suara nya,0.0
"makasih bg, salam jg dr pemula",1.0
punya saya kok hasilnya bahasa inggris padahal skripsny indonesia. sebaliknya skripsi nya inggris tetap sama aja hasilnya bahasa inggris,0.0
kak kok aku cuman sehari sudah tidak bisa bikin lagi.kayanya kmrin sehari cuman bisa bikin kurang lebih 10. setelah itu tidak bisa lg. sampai hari berikutnya.,1.0
keren gilak..!!! ????????,2.0
"iya gan sama"".... untuk animasinya emang gitu sering error kayaknya ini masih program baru untuk intergrasi ke web whisk ini, solusi kalau sering error gitu bisa unduh gambarnya saja dan di animasikan ke genrator lain sperti pixverce, kling dll",0.0
wajah wajah siapa tuh ??,1.0
bang masyawi pnya ane ngga ada suaranya ya..kenapa ya?,0.0
bang bagaimana ketika digenerate animasi diwhisk dah ada langsung audionya..tinggal langsung edit kah..penggabungan,1.0
dan lu asli apa ai bg??,1.0
orang arab lagi berkunjung ke majapahit,1.0
sinyalnya dimana?,1.0
ko aku nga muncul video digemini bang,0.0
"kalau mau bikin video yang lg hits di wisudaan anak2 sekolah gitu, yang mereka berubah jadi sesuai sama cita2nya gitu, pake app apa ya? adakah yang tau?",1.0
makasih bang,1.0
"lagi membayangkan dimasa datang pembaca berita ditelevisi diganti menggunakan ai, tidak perlu ribet bayar gaji reporter, tukang kamera, dan editor video, tidak perlu ruang studio dan aksesoris tata lampunya ??",2.0
ai,1.0
dibanding indosiar.. masih realistis ini.. wkwk,2.0
gimana caranya biar whisk tidak limit yaa? :(,1.0
next ke jaman tirex ka,1.0
bang video ku kok tidak ada suara ya,0.0
"terima kasih bang , saya coba lagi",1.0
"tutornya ada yang ke skip, si awal tidak di kasih tau bikin prompt 5 alur cerita, tau tau si suruh generate alur cerita, gimana ni bang?",1.0
ada versi trialnya dan bisa juga pakai temporary,1.0
"??ai anda terlalu cepat berkembang, mengerikan",0.0
"terbuat dari apa hati mu mas, kok baik banget ilmu daging seperti ini kok gratis, saya aja beli kelas 800.000 an dapat cuma konten biasa saja. kalau kek gini lebih mahal saya akan bayar, tapi di sini saya dapat gratis, subhanallah,, semoga allah beri rezeki yang melimpah dan sehat selalu mas.",2.0
versi atlantis kak,1.0
keren banget kak cocok untuk pelajaran sejarah di sekolahan niiih ??,2.0
? .1 walaupun pake akun google pro tetap preloadnya 1 bulan sekali ya kak..?,1.0
spill deskripsi videonya di veo 3 kak,1.0
saya punya ide tapi mudahan aja konten sejarah pakai ai tidak kena pelanggaran,1.0
hasilnya ko tidak ada suaranya ya,0.0
anjg lo bilang gratis,1.0
"bang aku kok gada opsi pembayaran pakai shopeepay atau gopay bang, gmna solusinya",0.0
kak mukanya biar bisa akainmula kita bagaimana,1.0
menghurungg??????????,1.0
kalau buat konten yt itu bisa monetisasi tidak kak?,1.0
dibatasi 8 detik saja kah om,1.0
siap gan silahkan pantengin,1.0
wajah wajah yang kepake.. bs minta royalti,1.0
kenapa ya disana tidak ada icon video nya? sudah pakai nordvpn bang,1.0
ko saya ngga ada vidionya ya,0.0
ai mungkin menggantikan manusia seperti halnya alat fotocopy dan mesin cetak. tapi manusia masih menghargai karya seni dan proses pembuatan. ibarat nilai sebuah poster hasil cetakan digital vs lukisan asli. manusia sangat menyukai bts sebuah produk. itu yang membuat produk bernilai.,2.0
suaranya gada ya,0.0
"bang kenapa kalo dibuat menggunakan android, suara/audionya tidak keluar? mohon petunjuk nya dengan video bang??",0.0
"bisa gan.... kalau mau foto kamu diubah jadi karakter 3d, masukkan ke gemini lalu minta ubah foto kamu jadikan gaya 3d pixar kalau sudah jadi unduh foto lalu unggah di obyek atau di whisk lalu kunci ( seed ) setelah itu generate per scene seperti yang sudah saya contohkan di video, pembuatan prompt minta bantuan chatgpt.... semoga ini membantu....",1.0
jaman majapahit udh pake scafolding\nai nya mungkin tidak terbayang harus pake teknologi apa buat bangun candi,1.0
"kok aku tidak muncul veo 3 ya, padahal sudah upgrade pro",0.0
bikin viidio klip lagu anak bsa tidak,1.0
"kak, terimakasih banyak untuk tutorialnya, tapi kenapa setiap saya buat bahasanya jadi ingris terus ya kak di videonya? ada settingan atau promt khusus kah supaya jadi bahasa indonesia di videonya?",1.0
"kekurangan cuman 8 detik, referensi foto kita dijadikan video tidak bisa ??",1.0
tapi bisa tidak sih dengan karakter yang sama secara terus menerus,1.0
gimana biar bisa bahasa jawa ya,1.0
di era sekarang masih bisakah kita mempercayai kata percaya atau justru malah kita membohongi kata bohong itu sendri .,0.0
kok suaranya tidak muncul atau tidak kedengeran yaa,0.0
hehehe....iya gan namanya juga memaksimalkan sumber daya yang ada,2.0
tapi tidak bisa bikin cerita panjang ngomong nya cuma singkat singkat,0.0
"bisa jadi karena vpn atau prompt, kmrn ak ad jg kayak gitu, lalu ak close dl gemininya, vpn ak reconnect setelah connect buka lagi gemininya, lalu ak cek susunan kalimat di prompt nya, jika ada yang agak ambigu di edit lalu di generate ulang",1.0
kalau suaranya tidak ada kenapa ya bang,0.0
"vpn terhubung dan server usa , bahkan mengikuti tutorial, namun tetap tidak ada suaranya. mohon pencerahannya...",0.0
pake hp bisa tidak kak,1.0
? .1 gimana caranya bang?,1.0
"kita merasakan betul susahnya jadi kreator yang dengan modal terbatas tapi punya kemauan tinggi, dengan semangat itu kita ingin memberikan solusi terbaik dengan minim budget tapi mendapat hasil yang maksimal..... aamiin....doa sebaliknya juga buat juragan n semoga semakin sukses lebih dari yang sekarang",2.0
"aku bayar kelas 350k. tapi penjelasannya lebih mudah dicerna di chanel abang ini. di sebagian kelas itu sengaja dibuat trik nya susah dan ribet, biar para member penasaran dan adminnya bisa jualan link, ebook, apk premium dll ??? -z4e",2.0
maaf suhu yt lewat di berandaku????,1.0
buatin youtube yang lengkap tpi cuy??,1.0
kok belum ada yang buat tutorial pakek veo 3 tapi wajah sendiri ya,1.0
???ï¿½???,1.0
jgn sampai ada yang bikin video 3gp ariel dan wulan ??,1.0
gua tidak bisa ke pro nya bang gmna solusinya,1.0
p,1.0
kok saya pujya gakk ada suara yah kak?,0.0
?ï¿½ ¿½iya bisa tapi harus langganan??. siap2 email yang banyak kalau mau gratisan??,1.0
"harus pake vpn bg,, sini bikin grup sharing2",1.0
untuk suara kita pakai ( pratama ... silahkan dicoba....,1.0
aku juga lagi belajar belajar buat,1.0
"betul.. tapi progressnya nanti akan halus, sulit membedakan dg yang aslinya",0.0
bang kalau wajah nya pakai wajah kita bisa tidak bang??,1.0
? cb aja yang free dlu,1.0
terima kasih aban..... udah berbagi ilmunya.... salam kenal dari timor leste ????,2.0
dari mana ai generate wajah indo...kayak kenal??????,1.0
lebih ke bali di masa lalu sih,1.0
"siap gan.... dengan senang hati bisa membantu, semoga bermanfaat.",2.0
punya saya akun pro kok veo 2 kemana ya bang?,1.0
sudah veo 3 pkai vpn amerika tapi tdk ada suaranya,0.0
tutor kak mau buat ads commercial,1.0
wow kaka tine traveler ??,1.0
surga nya org introvert,2.0
bagi yang awam udah dipercaya asli sih bagi yang ngeti ai masih keliatan,0.0
"sayangnya belum ada suaranya, gambar bisa di jadikan frame di google flow veo 3, disitu udah ada suaranya",0.0
u ntuk panjang video hanya 8 detik aja ya bang ? bisa pake photo atau gambar muka kita tidak bang ?,1.0
request kak di dunia liliput,1.0
bang saya jualan es teh dangan brand es teh kampoeng.bisa tidak bikin video orang minum es teh.buat promosi di facebook.,1.0
gratis 1 bulan,1.0
siap... dengan senang hati bisa membantu ??,1.0
tikus2 berdasi : ????????????anggaraannnnnn,1.0
punyaku tidak ada vitur videonya ya banhg,1.0
guyss aplikasi ai apa sih yang gratis mohom inponya suhu,1.0
"knpa sy buat, suaranya tidak ada?",0.0
"bang, kok tidak nyambung hasilnya yang bagian buat 3 prompt lanjutan?",1.0
bang ini kusus di pake untuk pc atau leptop ya klo di hp tidak bisa,1.0
lu juga mirip buatan ai bg????canda????,1.0
klo lu mah bayar enak mau bkin kya gitu mah,1.0
"tidak ada ngeri nya di depan penyepong china russia. ada aja alasan mereka untuk menghujat barat, ngata'in standar ganda padahal mereka juga masih bergantung sama produk barat, contoh aja ni youtube",1.0
"kalau laptop menurut aku relatif ya, hanya saja minimal ram 8 keatas dan prosesor core i3, kalau saya sendiri pakai core i3 ram 16",1.0
keren,2.0
wah sayang terlalu ribet bang harus pakai lectop yang ngk pumya ngk bisa dong,0.0
bang untuk pengaturan videonya dimana ya klw pake hp untuk video short,1.0
"bang, saya pakai hape.. tapi tetap veo 2 bang, gmna ya biar veo 3 di hape.?? ??",1.0
kok punyaku stelah download malah g bs bahasa indonesia,0.0
"ai makin gila, tmn2 wajib improv sih.. asli buat konten mudah banget skrg..!!",2.0
kek visualisasi mimpi pas lagi sakit njirr,1.0
"please jangan bikin tutor kayak gini,emang semalem itu ya dikit dikit ai",1.0
pakai hp tidak bisa,1.0
yang bikin gw heran kok bisa suara sama muka nya pada cocok semua,2.0
di hp atau pc apakah bisa semua???,1.0
.1 jadingak selalu harus core i7 ya bang . yang penting ram nya 16,1.0
kok gw cuma veo 2,1.0
suara nya tidak ada dari yang saya buat... cuma video aja,0.0
bikin dr tirta iklan susu tulang bang,1.0
hebat,2.0
bisa... dikomentar saya sebelumnya ini sudah aku jelasin caranya,1.0
"bang saya buat kok videonya tidak ada suara ya, tidak bicara gitu",0.0
kalau penggabungan foto kita gimana bang caranya,1.0
ini di dunia nyata ada beneran tidak sih orangnya,1.0
"siap2, kita tau kelompok apa yang bisa dimasukin video ai semacam ini.",1.0
cuma 8 detik ??,1.0
terus yang pertama pembayaran kalo di lanjutin pke uangga apa cuma berlangganan doang buat dapetin yang gratis,1.0
puny ku kok tidak ada suara nya ya bang,0.0
aamiin,1.0
"pas nyoba,koq pakai bahasa inggris dis",1.0
bg mau nanya yang di bagian animasikan foto nya ini bayar ya?,1.0
"waduh sudah rada lupa aku gan isi detail dari video ini, tapi saranku, pelajari poin pentingnya saja dari cara saya memberikan kata perintah ke chatgptnya ini, karena kalau kamu pelajari poin pentingnya ini, mau buat video apapun tidak susah gan tinggal lakukan beberapa eksperimen saja untuk mendapatkan hasil yang maksimal.... mungkin ini yang bisa saya jelaskan dan untuk detail isi video ini saya sedikit lupa karena menonton video sendiri agar tau detailnya juga nanti saya yang kena pelanggaran, jadi mohon dimaklumi dan dimaafkan....",2.0
"gabisa bang,ngelag terus??",0.0
ok thanks gan,1.0
pake mobile / hape bisa juga tidak bang? ????,1.0
"drop prompt bang, mau nganalisa. kalo bolee juga nulis promptnya sendiri apa di bantu ai lain terus ngomongnya bisa pas 8 detik mulus pake ai lagi apa manual",1.0
"napa d gua gada pilihan video itu ya, kosong doang d bawah nya",1.0
"rezeki tak terduga datang dari ?????????, makasih banyak!",2.0
seruuuuu??,2.0
biar logat nya jadi bahasa indonesia gm,1.0
makasih kak tutorialnya,1.0
ilmu banget,2.0
yakin sistemnya barter?,1.0
bang ko gua masih veo 2 ya padahal udah paakai vpn,1.0
"itu dibreload 1bln sekali, solusi gunakan akun gmail lainya kalau punya",1.0
"kalo berbayar, limit generate nya berapa x bang dalam sebulan?",1.0
bg emg batasannya cuman 3 kali generate tiap hari yah?,1.0
"?ï¿½ ¿½vpn nya pke jenis lain, tpi pke usa bang. sy cb buat sampai 3x tetap sma tdk ada suara.dan video durasi mentok 8 detik sja.",1.0
"google abg bahasa inggris settingannya, soalnya youtube ku udh pake fitur auto dubbing bg, jadi semua nya menyesuaikan dgn settingan bahasa dan negara yang nonton",1.0
kok saya jadi bahasa inggris ya bang?,1.0
"gokil, sebagai seorang yang pernah bekerja sbg motion grafis, dan editor. sy lihat kehadiran ai cukup meresahkan. untungnya semua itu tidak sepenuhnya gratis. masih butuh effort, jadi masih ada peluang bagi para insan2 kreatif yang bekerja sebagai 3d animator, editor dll.",2.0
? salah promptnya. vpn pake singapura,0.0
iya ad limit bang,1.0
berapa panjang tuhh naskah prompt nya??,1.0
"udah coba, tapi tidak ada suaranya",0.0
"hongkong ilmu daging percaya aja, lihat dong ini aja jualan ebook/video digital via lynk, hari gini gratis..??",2.0
serem ??,0.0
